orf_id	associated_transcript_id	trans_len	reading_frame	ORF_start	ORF_end	peptide_coverage	CPAT_score	associated_peptide_id	ORF_length(nt)
SPENO000141	SPENT000441	352	2	2	250	0.5244	0.1439	SPENP016008,SPENP002745,SPENP014487,SPENP016171,SPENP017774,SPENP020500,SPENP003779,SPENP015569,SPENP001187,SPENP001597,SPENP004175,SPENP007159,SPENP011480,SPENP015034,SPENP017543,SPENP020268,SPENP024687	249
SPENO000142	SPENT003020	1465	2	191	241	0.8125	0.0037	SPENP025203,SPENP025129	51
SPENO000143	SPENT000676	312	3	252	311	0.5263	0.024	SPENP001499	60
SPENO000144	SPENT005709	3578	3	384	533	0.4082	0.3289	SPENP016206	150
SPENO000145	SPENT000011	2764	1	364	1602	0.068	0.9998	SPENP013006,SPENP001141	1239
SPENO000146	SPENT000589	474	1	1	156	0.4314	0.0369	SPENP001368	156
SPENO000147	SPENT000589	474	3	147	317	0.4821	0.0744	SPENP011962,SPENP024551,SPENP012043,SPENP024736,SPENP026877	171
SPENO000148	SPENT000367	3858	1	868	912	0.8571	0.0014	SPENP001034	45
SPENO000149	SPENT005620	3366	1	1843	1893	0.9375	0.0147	SPENP015055	51
SPENO000150	SPENT000226	550	1	199	441	0.475	0.2283	SPENP000973,SPENP011916,SPENP011409,SPENP011996,SPENP001194,SPENP011502,SPENP012044,SPENP024089	243
SPENO000151	SPENT000992	2053	2	665	739	0.375	0.001	SPENP001996,SPENP002092	75
SPENO000152	SPENT004088	637	3	336	536	0.3485	0.0641	SPENP017851,SPENP027833	201
SPENO000153	SPENT002111	755	2	323	532	0.1739	0.7775	SPENP007039,SPENP024618	210
SPENO000154	SPENT002429	6226	1	331	429	0.4062	0.0014	SPENP008308	99
SPENO000155	SPENT001149	20936	3	1665	1823	0.1923	0.0007	SPENP002151,SPENP003860,SPENP007545	159
SPENO000156	SPENT002313	1137	3	1041	1124	0.6667	0.0047	SPENP004905	84
SPENO000157	SPENT003321	852	2	647	784	0.2	0.0236	SPENP011254	138
SPENO000158	SPENT004817	8198	2	3848	4033	0.1967	0.0009	SPENP023595	186
SPENO000159	SPENT004159	3065	3	1215	1499	0.1915	0.9072	SPENP018406	285
SPENO000160	SPENT004175	2061	2	1736	1864	0.5952	0.0003	SPENP018511	129
SPENO000161	SPENT001928	499	2	5	178	0.3509	0.0545	SPENP004521	174
SPENO000162	SPENT003437	650	2	182	478	0.3265	0.8887	SPENP011718,SPENP015214,SPENP020609,SPENP014810,SPENP019868	297
SPENO000163	SPENT003121	573	2	188	487	0.2929	0.1183	SPENP009067	300
SPENO000164	SPENT004912	3629	1	910	1137	0.16	0.0005	SPENP023595	228
SPENO000165	SPENT001227	15156	1	6259	6441	0.2167	0.0059	SPENP002386,SPENP004054,SPENP011435,SPENP017401,SPENP023347	183
SPENO000166	SPENT001227	15156	1	5998	6177	0.2373	0.0273	SPENP002375,SPENP017447,SPENP002475,SPENP014256	180
SPENO000167	SPENT002420	2677	2	1505	1753	0.2317	0.0605	SPENP005899,SPENP005900,SPENP005901,SPENP005902,SPENP005903	249
SPENO000168	SPENT004611	582	1	202	429	0.7867	0.1515	SPENP023148,SPENP023149,SPENP015098,SPENP022846,SPENP022847,SPENP028398,SPENP028558	228
SPENO000169	SPENT004689	4616	3	2388	2534	0.25	0.001	SPENP023585	147
SPENO000170	SPENT000808	1766	2	443	853	0.1176	0.3762	SPENP001644	411
SPENO000171	SPENT000517	1125	2	629	844	0.3803	0.0498	SPENP024491,SPENP001239	216
SPENO000172	SPENT000252	1415	2	1121	1156	0.9091	0.002	SPENP000889	36
SPENO000173	SPENT000270	2779	2	401	436	0.9091	0.0059	SPENP000089,SPENP000919,SPENP001474,SPENP011297	36
SPENO000174	SPENT002742	8475	1	2050	2328	0.2717	0.4572	SPENP007469	279
SPENO000175	SPENT001951	885	2	437	505	0.9545	0.0004	SPENP004588	69
SPENO000176	SPENT000574	12762	2	6716	6781	1.0	0.0865	SPENP001359	66
SPENO000177	SPENT005302	4453	2	2762	2920	0.2885	0.0055	SPENP012995	159
